frecuencia frecuencia_wo wo Q Ho valor_transferencia
400 200 1256.63706144 0.1 1.0 0.988936352868
400 200 1256.63706144 0.2 1.0 0.957826285221
400 200 1256.63706144 0.3 1.1 1.00311365569
400 200 1256.63706144 0.4 1.2 1.02899151086
400 200 1256.63706144 0.5 1.2 0.96
400 200 1256.63706144 0.6 1.3 0.966282390121
400 240 1507.96447372 0.1 1.0 0.994359200552
400 240 1507.96447372 0.2 1.0 0.977992836424
400 240 1507.96447372 0.3 1.0 0.952424147199
400 240 1507.96447372 0.4 1.1 1.01175598489
400 240 1507.96447372 0.5 1.1 0.970588235294
400 240 1507.96447372 0.6 1.2 1.01072568079
400 240 1507.96447372 0.7 1.2 0.961536266493
400 280 1759.29188601 0.1 1.0 0.997356438068
400 280 1759.29188601 0.2 1.0 0.989549796266
400 280 1759.29188601 0.3 1.0 0.976936422088
400 280 1759.29188601 0.4 1.0 0.960061420817
400 280 1759.29188601 0.5 1.1 1.03355704698
400 280 1759.29188601 0.6 1.1 1.00790520739
400 280 1759.29188601 0.7 1.1 0.979919002109
400 280 1759.29188601 0.8 1.1 0.950353695489
400 320 2010.6192983 0.1 1.0 0.998989035144
400 320 2010.6192983 0.2 1.0 0.995974438843
400 320 2010.6192983 0.3 1.0 0.991010194463
400 320 2010.6192983 0.4 1.0 0.984183323974
400 320 2010.6192983 0.5 1.0 0.975609756098
400 320 2010.6192983 0.6 1.0 0.965429082558
400 320 2010.6192983 0.7 1.0 0.953798645698
400 320 2010.6192983 0.8 1.1 1.03497615306
400 320 2010.6192983 0.9 1.1 1.01955704813
400 320 2010.6192983 1.0 1.1 1.00311365569
400 360 2261.94671058 0.1 1.0 0.999777234952
400 360 2261.94671058 0.2 1.0 0.999109831986
400 360 2261.94671058 0.3 1.0 0.998000457727
400 360 2261.94671058 0.4 1.0 0.996453523751
400 360 2261.94671058 0.5 1.0 0.994475138122
400 360 2261.94671058 0.6 1.0 0.992073039018
400 360 2261.94671058 0.7 1.0 0.989256511827
400 360 2261.94671058 0.8 1.0 0.986036291439
400 360 2261.94671058 0.9 1.0 0.982424451701
400 360 2261.94671058 1.0 1.0 0.978434284204
400 360 2261.94671058 1.1 1.0 0.97408016868
400 400 2513.27412287 0.1 1.0 1.0
400 400 2513.27412287 0.2 1.0 1.0
400 400 2513.27412287 0.3 1.0 1.0
400 400 2513.27412287 0.4 1.0 1.0
400 400 2513.27412287 0.5 1.0 1.0
400 400 2513.27412287 0.6 1.0 1.0
400 400 2513.27412287 0.7 1.0 1.0
400 400 2513.27412287 0.8 1.0 1.0
400 400 2513.27412287 0.9 1.0 1.0
400 400 2513.27412287 1.0 1.0 1.0
400 400 2513.27412287 1.1 1.0 1.0
400 400 2513.27412287 1.2 1.0 1.0
400 440 2764.60153516 0.1 1.0 0.999817818392
400 440 2764.60153516 0.2 1.0 0.999271870412
400 440 2764.60153516 0.3 1.0 0.998363941165
400 440 2764.60153516 0.4 1.0 0.997096987848
400 440 2764.60153516 0.5 1.0 0.995475113122
400 440 2764.60153516 0.6 1.0 0.993503528479
400 440 2764.60153516 0.7 1.0 0.991188508259
400 440 2764.60153516 0.8 1.0 0.988537335095
400 440 2764.60153516 0.9 1.0 0.985558237689
400 440 2764.60153516 1.0 1.0 0.982260321954
400 440 2764.60153516 1.1 1.0 0.978653496602
400 440 2764.60153516 1.2 1.0 0.974748394327
400 440 2764.60153516 1.3 1.0 0.970556289741
400 480 3015.92894745 0.1 1.0 0.999328454843
400 480 3015.92894745 0.2 1.0 0.997321907921
400 480 3015.92894745 0.3 1.0 0.994004355935
400 480 3015.92894745 0.4 1.0 0.989414914284
400 480 3015.92894745 0.5 1.0 0.983606557377
400 480 3015.92894745 0.6 1.0 0.976644466705
400 480 3015.92894745 0.7 1.0 0.968604084521
400 480 3015.92894745 0.8 1.0 0.95956898165
400 480 3015.92894745 0.9 1.1 1.04459151401
400 480 3015.92894745 1.0 1.1 1.03276394748
400 480 3015.92894745 1.1 1.1 1.02014756954
400 480 3015.92894745 1.2 1.1 1.00684653567
400 480 3015.92894745 1.3 1.1 0.992962953777
400 480 3015.92894745 1.4 1.1 0.978595360537
400 480 3015.92894745 1.5 1.1 0.963837499544
400 520 3267.25635973 0.1 1.0 0.998594389295
400 520 3267.25635973 0.2 1.0 0.994412856011
400 520 3267.25635973 0.3 1.0 0.987558865915
400 520 3267.25635973 0.4 1.0 0.978197081654
400 520 3267.25635973 0.5 1.0 0.966542750929
400 520 3267.25635973 0.6 1.0 0.952848740287
400 520 3267.25635973 0.7 1.1 1.0311308098
400 520 3267.25635973 0.8 1.1 1.0125041412
400 520 3267.25635973 0.9 1.1 0.992567194398
400 520 3267.25635973 1.0 1.1 0.971620761704
400 520 3267.25635973 1.1 1.2 1.03630330597
400 520 3267.25635973 1.2 1.2 1.0121372359
400 520 3267.25635973 1.3 1.2 0.987696138675
400 520 3267.25635973 1.4 1.2 0.963191272666
400 520 3267.25635973 1.5 1.3 1.01703478296
400 520 3267.25635973 1.6 1.3 0.990897150259
400 560 3518.58377202 0.1 1.0 0.997657238183
400 560 3518.58377202 0.2 1.0 0.990726527976
400 560 3518.58377202 0.3 1.0 0.979489544701
400 560 3518.58377202 0.4 1.0 0.964381293586
400 560 3518.58377202 0.5 1.1 1.04054054054
400 560 3518.58377202 0.6 1.1 1.01726625284
400 560 3518.58377202 0.7 1.1 0.991675363215
400 560 3518.58377202 0.8 1.1 0.964418690745
400 560 3518.58377202 0.9 1.2 1.02118772766
400 560 3518.58377202 1.0 1.2 0.989674622215
400 560 3518.58377202 1.1 1.2 0.958025608128
400 560 3518.58377202 1.2 1.3 1.00384038957
400 560 3518.58377202 1.3 1.3 0.970407373954
400 560 3518.58377202 1.4 1.4 1.00994224944
400 560 3518.58377202 1.5 1.4 0.975909750609
400 560 3518.58377202 1.6 1.5 1.01044530702
400 560 3518.58377202 1.7 1.5 0.976646579086
400 600 3769.91118431 0.1 1.0 0.996545758245
400 600 3769.91118431 0.2 1.0 0.986393923832
400 600 3769.91118431 0.3 1.0 0.970142500145
400 600 3769.91118431 0.4 1.1 1.04355162786
400 600 3769.91118431 0.5 1.1 1.01538461538
400 600 3769.91118431 0.6 1.1 0.9838699101
400 600 3769.91118431 0.7 1.1 0.950156790988
400 600 3769.91118431 0.8 1.2 0.998460353205
400 600 3769.91118431 0.9 1.2 0.96
400 600 3769.91118431 1.0 1.3 0.998687663477
400 600 3769.91118431 1.1 1.3 0.958300382261
400 600 3769.91118431 1.2 1.4 0.989949493661
400 600 3769.91118431 1.3 1.5 1.0174201541
400 600 3769.91118431 1.4 1.5 0.976187060184
400 600 3769.91118431 1.5 1.6 0.999512076087
400 600 3769.91118431 1.6 1.6 0.96
400 600 3769.91118431 1.7 1.7 0.980361435918
400 600 3769.91118431 1.8 1.8 0.998460353205
600 300 1884.95559215 0.1 1.0 0.988936352868
600 300 1884.95559215 0.2 1.0 0.957826285221
600 300 1884.95559215 0.3 1.1 1.00311365569
600 300 1884.95559215 0.4 1.2 1.02899151086
600 300 1884.95559215 0.5 1.2 0.96
600 300 1884.95559215 0.6 1.3 0.966282390121
600 300 1884.95559215 0.7 1.4 0.965517241379
600 300 1884.95559215 0.8 1.5 0.960276599497
600 300 1884.95559215 0.9 1.6 0.952364081001
600 360 2261.94671058 0.1 1.0 0.994359200552
600 360 2261.94671058 0.2 1.0 0.977992836424
600 360 2261.94671058 0.3 1.0 0.952424147199
600 360 2261.94671058 0.4 1.1 1.01175598489
600 360 2261.94671058 0.5 1.1 0.970588235294
600 360 2261.94671058 0.6 1.2 1.01072568079
600 360 2261.94671058 0.7 1.2 0.961536266493
600 360 2261.94671058 0.8 1.3 0.988892638952
600 360 2261.94671058 0.9 1.4 1.00994224944
600 360 2261.94671058 1.0 1.4 0.957517580434
600 360 2261.94671058 1.1 1.5 0.972978090183
600 420 2638.93782902 0.1 1.0 0.997356438068
600 420 2638.93782902 0.2 1.0 0.989549796266
600 420 2638.93782902 0.3 1.0 0.976936422088
600 420 2638.93782902 0.4 1.0 0.960061420817
600 420 2638.93782902 0.5 1.1 1.03355704698
600 420 2638.93782902 0.6 1.1 1.00790520739
600 420 2638.93782902 0.7 1.1 0.979919002109
600 420 2638.93782902 0.8 1.1 0.950353695489
600 420 2638.93782902 0.9 1.2 1.00350401748
600 420 2638.93782902 1.0 1.2 0.969883795474
600 420 2638.93782902 1.1 1.3 1.01442215329
600 420 2638.93782902 1.2 1.3 0.978696064088
600 420 2638.93782902 1.3 1.4 1.01644821995
600 480 3015.92894745 0.1 1.0 0.998989035144
600 480 3015.92894745 0.2 1.0 0.995974438843
600 480 3015.92894745 0.3 1.0 0.991010194463
600 480 3015.92894745 0.4 1.0 0.984183323974
600 480 3015.92894745 0.5 1.0 0.975609756098
600 480 3015.92894745 0.6 1.0 0.965429082558
600 480 3015.92894745 0.7 1.0 0.953798645698
600 480 3015.92894745 0.8 1.1 1.03497615306
600 480 3015.92894745 0.9 1.1 1.01955704813
600 480 3015.92894745 1.0 1.1 1.00311365569
600 480 3015.92894745 1.1 1.1 0.985833675007
600 480 3015.92894745 1.2 1.1 0.967895937423
600 480 3015.92894745 1.3 1.2 1.03578253597
600 480 3015.92894745 1.4 1.2 1.01530982165
600 480 3015.92894745 1.5 1.2 0.994618408891
600 540 3392.92006588 0.1 1.0 0.999777234952
600 540 3392.92006588 0.2 1.0 0.999109831986
600 540 3392.92006588 0.3 1.0 0.998000457727
600 540 3392.92006588 0.4 1.0 0.996453523751
600 540 3392.92006588 0.5 1.0 0.994475138122
600 540 3392.92006588 0.6 1.0 0.992073039018
600 540 3392.92006588 0.7 1.0 0.989256511827
600 540 3392.92006588 0.8 1.0 0.986036291439
600 540 3392.92006588 0.9 1.0 0.982424451701
600 540 3392.92006588 1.0 1.0 0.978434284204
600 540 3392.92006588 1.1 1.0 0.97408016868
600 540 3392.92006588 1.2 1.0 0.969377437381
600 540 3392.92006588 1.3 1.0 0.964342235745
600 540 3392.92006588 1.4 1.0 0.958991381645
600 540 3392.92006588 1.5 1.0 0.953342225351
600 540 3392.92006588 1.6 1.1 1.04215376341
600 600 3769.91118431 0.1 1.0 1.0
600 600 3769.91118431 0.2 1.0 1.0
600 600 3769.91118431 0.3 1.0 1.0
600 600 3769.91118431 0.4 1.0 1.0
600 600 3769.91118431 0.5 1.0 1.0
600 600 3769.91118431 0.6 1.0 1.0
600 600 3769.91118431 0.7 1.0 1.0
600 600 3769.91118431 0.8 1.0 1.0
600 600 3769.91118431 0.9 1.0 1.0
600 600 3769.91118431 1.0 1.0 1.0
600 600 3769.91118431 1.1 1.0 1.0
600 600 3769.91118431 1.2 1.0 1.0
600 600 3769.91118431 1.3 1.0 1.0
600 600 3769.91118431 1.4 1.0 1.0
600 600 3769.91118431 1.5 1.0 1.0
600 600 3769.91118431 1.6 1.0 1.0
600 600 3769.91118431 1.7 1.0 1.0
600 600 3769.91118431 1.8 1.0 1.0
600 660 4146.90230274 0.1 1.0 0.999817818392
600 660 4146.90230274 0.2 1.0 0.999271870412
600 660 4146.90230274 0.3 1.0 0.998363941165
600 660 4146.90230274 0.4 1.0 0.997096987848
600 660 4146.90230274 0.5 1.0 0.995475113122
600 660 4146.90230274 0.6 1.0 0.993503528479
600 660 4146.90230274 0.7 1.0 0.991188508259
600 660 4146.90230274 0.8 1.0 0.988537335095
600 660 4146.90230274 0.9 1.0 0.985558237689
600 660 4146.90230274 1.0 1.0 0.982260321954
600 660 4146.90230274 1.1 1.0 0.978653496602
600 660 4146.90230274 1.2 1.0 0.974748394327
600 660 4146.90230274 1.3 1.0 0.970556289741
600 660 4146.90230274 1.4 1.0 0.966089015225
600 660 4146.90230274 1.5 1.0 0.961358875822
600 660 4146.90230274 1.6 1.0 0.956378564248
600 660 4146.90230274 1.7 1.0 0.951161077026
600 660 4146.90230274 1.8 1.1 1.04029159593
600 660 4146.90230274 1.9 1.1 1.03407435194
600 660 4146.90230274 2.0 1.1 1.0276402248
600 720 4523.89342117 0.1 1.0 0.999328454843
600 720 4523.89342117 0.2 1.0 0.997321907921
600 720 4523.89342117 0.3 1.0 0.994004355935
600 720 4523.89342117 0.4 1.0 0.989414914284
600 720 4523.89342117 0.5 1.0 0.983606557377
600 720 4523.89342117 0.6 1.0 0.976644466705
600 720 4523.89342117 0.7 1.0 0.968604084521
600 720 4523.89342117 0.8 1.0 0.95956898165
600 720 4523.89342117 0.9 1.1 1.04459151401
600 720 4523.89342117 1.0 1.1 1.03276394748
600 720 4523.89342117 1.1 1.1 1.02014756954
600 720 4523.89342117 1.2 1.1 1.00684653567
600 720 4523.89342117 1.3 1.1 0.992962953777
600 720 4523.89342117 1.4 1.1 0.978595360537
600 720 4523.89342117 1.5 1.1 0.963837499544
600 720 4523.89342117 1.6 1.2 1.03502988692
600 720 4523.89342117 1.7 1.2 1.01836004938
600 720 4523.89342117 1.8 1.2 1.00153128787
600 720 4523.89342117 1.9 1.2 0.984617743845
600 720 4523.89342117 2.0 1.2 0.967685995027
600 720 4523.89342117 2.1 1.2 0.950795220465
600 720 4523.89342117 2.2 1.3 1.01183061332
600 780 4900.8845396 0.1 1.0 0.998594389295
600 780 4900.8845396 0.2 1.0 0.994412856011
600 780 4900.8845396 0.3 1.0 0.987558865915
600 780 4900.8845396 0.4 1.0 0.978197081654
600 780 4900.8845396 0.5 1.0 0.966542750929
600 780 4900.8845396 0.6 1.0 0.952848740287
600 780 4900.8845396 0.7 1.1 1.0311308098
600 780 4900.8845396 0.8 1.1 1.0125041412
600 780 4900.8845396 0.9 1.1 0.992567194398
600 780 4900.8845396 1.0 1.1 0.971620761704
600 780 4900.8845396 1.1 1.2 1.03630330597
600 780 4900.8845396 1.2 1.2 1.0121372359
600 780 4900.8845396 1.3 1.2 0.987696138675
600 780 4900.8845396 1.4 1.2 0.963191272666
600 780 4900.8845396 1.5 1.3 1.01703478296
600 780 4900.8845396 1.6 1.3 0.990897150259
600 780 4900.8845396 1.7 1.3 0.965174096966
600 780 4900.8845396 1.8 1.4 1.01227339333
600 780 4900.8845396 1.9 1.4 0.985770142529
600 780 4900.8845396 2.0 1.4 0.959971158406
600 780 4900.8845396 2.1 1.5 1.00170044845
600 780 4900.8845396 2.2 1.5 0.97569249958
600 780 4900.8845396 2.3 1.5 0.950533407969
600 780 4900.8845396 2.4 1.6 0.987977370637
600 840 5277.87565803 0.1 1.0 0.997657238183
600 840 5277.87565803 0.2 1.0 0.990726527976
600 840 5277.87565803 0.3 1.0 0.979489544701
600 840 5277.87565803 0.4 1.0 0.964381293586
600 840 5277.87565803 0.5 1.1 1.04054054054
600 840 5277.87565803 0.6 1.1 1.01726625284
600 840 5277.87565803 0.7 1.1 0.991675363215
600 840 5277.87565803 0.8 1.1 0.964418690745
600 840 5277.87565803 0.9 1.2 1.02118772766
600 840 5277.87565803 1.0 1.2 0.989674622215
600 840 5277.87565803 1.1 1.2 0.958025608128
600 840 5277.87565803 1.2 1.3 1.00384038957
600 840 5277.87565803 1.3 1.3 0.970407373954
600 840 5277.87565803 1.4 1.4 1.00994224944
600 840 5277.87565803 1.5 1.4 0.975909750609
600 840 5277.87565803 1.6 1.5 1.01044530702
600 840 5277.87565803 1.7 1.5 0.976646579086
600 840 5277.87565803 1.8 1.6 1.00721379374
600 840 5277.87565803 1.9 1.6 0.974191528952
600 840 5277.87565803 2.0 1.7 1.00159266766
600 840 5277.87565803 2.1 1.7 0.969672876142
600 840 5277.87565803 2.2 1.8 0.994522533193
600 840 5277.87565803 2.3 1.8 0.96387983411
600 840 5277.87565803 2.4 1.9 0.986646884273
600 840 5277.87565803 2.5 1.9 0.957354948496
600 840 5277.87565803 2.6 2.0 0.978398225241
600 900 5654.86677646 0.1 1.0 0.996545758245
600 900 5654.86677646 0.2 1.0 0.986393923832
600 900 5654.86677646 0.3 1.0 0.970142500145
600 900 5654.86677646 0.4 1.1 1.04355162786
600 900 5654.86677646 0.5 1.1 1.01538461538
600 900 5654.86677646 0.6 1.1 0.9838699101
600 900 5654.86677646 0.7 1.1 0.950156790988
600 900 5654.86677646 0.8 1.2 0.998460353205
600 900 5654.86677646 0.9 1.2 0.96
600 900 5654.86677646 1.0 1.3 0.998687663477
600 900 5654.86677646 1.1 1.3 0.958300382261
600 900 5654.86677646 1.2 1.4 0.989949493661
600 900 5654.86677646 1.3 1.5 1.0174201541
600 900 5654.86677646 1.4 1.5 0.976187060184
600 900 5654.86677646 1.5 1.6 0.999512076087
