time	V(dw1)
0.000000000000000e+000	0.000000e+000
9.999999439624929e-011	1.917735e-008
1.999999887924986e-010	4.094598e-008
7.577050326227389e-008	5.769167e-006
1.513410065357553e-007	1.010850e-005
2.269115098092367e-007	1.305895e-005
3.024820130827181e-007	1.462051e-005
3.780525163561994e-007	1.479319e-005
4.536230196296809e-007	1.357699e-005
5.291935229031621e-007	1.097189e-005
9.447275961073308e-006	1.728564e-005
1.836535839924345e-005	1.374659e-005
2.728344083741360e-005	3.547450e-007
3.620152327558375e-005	-2.288989e-005
4.511960571375389e-005	-5.598732e-005
5.403768815192404e-005	-9.893754e-005
6.295577059009417e-005	-1.517405e-004
7.280780336293787e-005	-2.325814e-004
8.265983613578158e-005	-3.479453e-004
9.251186890862529e-005	-4.978321e-004
1.023639016814690e-004	-6.822418e-004
1.122159344543127e-004	-9.011745e-004
1.220679672271564e-004	-1.154630e-003
1.319200000000001e-004	-1.442609e-003
1.446171428349435e-004	-1.876994e-003
1.573142856698870e-004	-2.404366e-003
1.700114285048305e-004	-3.024727e-003
1.827085713397740e-004	-3.738075e-003
1.954057141747174e-004	-4.544412e-003
2.081028570096609e-004	-5.443736e-003
2.207999998446043e-004	-6.436048e-003
2.379161605615721e-004	-7.944198e-003
2.550323212785398e-004	-9.683160e-003
2.721484819955076e-004	-1.165293e-002
2.892646427124753e-004	-1.385351e-002
3.063808034294431e-004	-1.628490e-002
3.234969641464109e-004	-1.894711e-002
3.406131248633786e-004	-2.184012e-002
3.607998213108713e-004	-2.558958e-002
3.809865177583640e-004	-2.972205e-002
4.011732142058567e-004	-3.423753e-002
4.213599106533494e-004	-3.913602e-002
4.415466071008421e-004	-4.441752e-002
4.617333035483348e-004	-5.008203e-002
4.819199999958274e-004	-5.612955e-002
5.002171428535664e-004	-6.196848e-002
5.185142857113054e-004	-6.813889e-002
5.368114285690443e-004	-7.464078e-002
5.551085714267833e-004	-8.147416e-002
5.734057142845222e-004	-8.863902e-002
5.917028571422612e-004	-9.613537e-002
6.100000000000001e-004	-1.039632e-001
6.329714285709669e-004	-1.142742e-001
6.559428571419338e-004	-1.250866e-001
6.789142857129006e-004	-1.364005e-001
7.018857142838674e-004	-1.482158e-001
7.248571428548343e-004	-1.605325e-001
7.478285714258011e-004	-1.733506e-001
7.707999999967679e-004	-1.866702e-001
7.928610582267613e-004	-1.999181e-001
8.149221164567547e-004	-2.135706e-001
8.369831746867479e-004	-2.276277e-001
8.590442329167413e-004	-2.420892e-001
8.811052911467347e-004	-2.569553e-001
9.031663493767281e-004	-2.722259e-001
9.252274076067214e-004	-2.879011e-001
9.451206350914752e-004	-3.023490e-001
9.650138625762290e-004	-3.170639e-001
9.849070900609827e-004	-3.320458e-001
1.004800317545737e-003	-3.472947e-001
1.024693545030490e-003	-3.628106e-001
1.044586772515244e-003	-3.785935e-001
1.064479999999998e-003	-3.946434e-001
1.086024732437892e-003	-4.122938e-001
1.107569464875786e-003	-4.301745e-001
1.129114197313680e-003	-4.482854e-001
1.150658929751575e-003	-4.666265e-001
1.172203662189469e-003	-4.851979e-001
1.193748394627363e-003	-5.039994e-001
1.215293127065257e-003	-5.230311e-001
1.229088897975586e-003	-5.353030e-001
1.242884668885916e-003	-5.476391e-001
1.256680439796245e-003	-5.600394e-001
1.270476210706575e-003	-5.725039e-001
1.284271981616904e-003	-5.850326e-001
1.298067752527234e-003	-5.976255e-001
1.311863523437563e-003	-6.102825e-001
1.328740162946483e-003	-6.258417e-001
