time	V(dw3)
0.000000000000000e+000	0.000000e+000
9.999999439624929e-011	1.122862e-007
1.999999887924986e-010	2.272107e-007
3.536601736371489e-008	2.542301e-005
7.053203473863727e-008	4.188529e-005
1.056980521135597e-007	4.961407e-005
1.408640694884820e-007	4.860933e-005
1.760300868634044e-007	3.887108e-005
2.111961042383268e-007	2.039931e-005
2.463621216132491e-007	-6.805961e-006
3.330288576261055e-007	-7.292455e-005
5.063623296518183e-007	-2.671446e-004
6.865101152388822e-007	-5.413625e-004
8.084585670387079e-007	-7.845424e-004
1.000000000000000e-006	-1.233421e-003
1.057462429888388e-006	-1.425612e-003
1.429979841528504e-006	-2.491038e-003
2.934627147618592e-006	-6.742876e-003
4.439274453708681e-006	-1.098021e-002
5.943921759798770e-006	-1.520305e-002
7.448569065888858e-006	-1.941138e-002
8.953216371978945e-006	-2.360521e-002
1.045786367806904e-005	-2.778454e-002
1.196251098415912e-005	-3.194936e-002
1.420538068034097e-005	-3.811327e-002
1.869112007270468e-005	-5.036698e-002
2.137105987403695e-005	-5.761903e-002
2.319913970608622e-005	-6.252123e-002
2.641533769035608e-005	-7.108475e-002
3.064323959685398e-005	-8.225022e-002
3.450267717797782e-005	-9.226640e-002
4.070681606990427e-005	-1.081609e-001
4.494771248932989e-005	-1.187762e-001
5.056545285592342e-005	-1.326500e-001
5.395816999146391e-005	-1.408366e-001
6.090472456947747e-005	-1.573057e-001
7.000000000000001e-005	-1.780839e-001
7.889668770405638e-005	-1.975931e-001
8.779337540811275e-005	-2.161242e-001
9.669006311216913e-005	-2.336774e-001
1.055867508162255e-004	-2.502526e-001
1.144834385202819e-004	-2.658498e-001
1.233801262243383e-004	-2.804690e-001
1.322768139283946e-004	-2.941102e-001
1.442808266900961e-004	-3.107689e-001
1.562848394517977e-004	-3.254328e-001
1.682888522134992e-004	-3.381020e-001
1.802928649752007e-004	-3.487765e-001
1.922968777369023e-004	-3.574562e-001
2.043008904986038e-004	-3.641412e-001
2.163049032603053e-004	-3.688315e-001
2.243803968909399e-004	-3.708761e-001
2.324558905215746e-004	-3.720781e-001
2.405313841522092e-004	-3.724375e-001
2.486068777828438e-004	-3.719541e-001
2.566823714134784e-004	-3.706282e-001
2.647578650441131e-004	-3.684596e-001
2.728333586747477e-004	-3.654484e-001
2.819903523564564e-004	-3.610669e-001
2.911473460381651e-004	-3.558066e-001
3.003043397198738e-004	-3.496673e-001
3.094613334015825e-004	-3.426491e-001
3.186183270832912e-004	-3.347520e-001
3.277753207649999e-004	-3.259759e-001
3.369323144467086e-004	-3.163210e-001
3.508676980971788e-004	-2.999795e-001
3.648030817476490e-004	-2.825043e-001
3.787384653981192e-004	-2.638952e-001
3.926738490485895e-004	-2.441524e-001
4.066092326990597e-004	-2.232757e-001
4.205446163495300e-004	-2.012652e-001
4.344800000000002e-004	-1.781210e-001
4.446400000071917e-004	-1.610561e-001
4.548000000143832e-004	-1.439355e-001
4.649600000215747e-004	-1.267593e-001
4.751200000287662e-004	-1.095275e-001
4.852800000359577e-004	-9.224007e-002
4.954400000431493e-004	-7.489698e-002
5.056000000503407e-004	-5.749825e-002
5.106285720634809e-004	-4.900279e-002
5.156571440766209e-004	-4.057074e-002
5.206857160897610e-004	-3.220211e-002
5.257142881029011e-004	-2.389690e-002
5.307428601160412e-004	-1.565510e-002
5.357714321291812e-004	-7.476710e-003
5.408000041423213e-004	6.382616e-004
5.500000000000000e-004	1.522802e-002
5.591656178120548e-004	2.951415e-002
5.683312356241097e-004	4.336333e-002
5.774968534361645e-004	5.677555e-002
5.866624712482193e-004	6.975082e-002
5.958280890602741e-004	8.228914e-002
6.049937068723290e-004	9.439051e-002
6.141593246843837e-004	1.060549e-001
6.287106745585362e-004	1.235038e-001
6.432620244326886e-004	1.393836e-001
6.578133743068411e-004	1.536944e-001
6.723647241809936e-004	1.664360e-001
6.869160740551460e-004	1.776085e-001
7.014674239292985e-004	1.872120e-001
7.160187738034508e-004	1.952464e-001
7.271645390781329e-004	2.001861e-001
7.383103043528150e-004	2.041736e-001
7.494560696274971e-004	2.072090e-001
7.606018349021793e-004	2.092921e-001
7.717476001768613e-004	2.104231e-001
7.828933654515434e-004	2.106019e-001
7.940391307262255e-004	2.098285e-001
8.013612791118330e-004	2.088518e-001
8.086834274974406e-004	2.075210e-001
8.160055758830481e-004	2.058360e-001
8.233277242686557e-004	2.037968e-001
8.306498726542631e-004	2.014033e-001
8.379720210398707e-004	1.986557e-001
8.452941694254782e-004	1.955539e-001
8.548097618258951e-004	1.910311e-001
8.643253542263121e-004	1.860639e-001
8.738409466267290e-004	1.806523e-001
8.833565390271459e-004	1.747962e-001
8.928721314275629e-004	1.684956e-001
9.023877238279798e-004	1.617506e-001
9.119033162283967e-004	1.545612e-001
9.226226109426630e-004	1.460236e-001
9.333419056569293e-004	1.372045e-001
9.440612003711956e-004	1.281039e-001
9.547804950854619e-004	1.187219e-001
9.654997897997281e-004	1.090584e-001
9.762190845139944e-004	9.911343e-002
9.869383792282607e-004	8.888700e-002
9.967410009006823e-004	7.944613e-002
1.006543622573104e-003	7.001321e-002
1.016346244245526e-003	6.058824e-002
1.026148865917948e-003	5.117122e-002
1.035951487590369e-003	4.176216e-002
1.045754109262791e-003	3.236105e-002
1.055556730935213e-003	2.296789e-002
1.060737317097640e-003	1.807816e-002
1.065917903260066e-003	1.323488e-002
1.071098489422493e-003	8.438043e-003
1.076279075584920e-003	3.687654e-003
1.081459661747347e-003	-1.016288e-003
1.086640247909774e-003	-5.673784e-003
1.091820834072201e-003	-1.028483e-002
1.101690310764612e-003	-1.893371e-002
1.111559787457023e-003	-2.728798e-002
1.121429264149434e-003	-3.534763e-002
1.131298740841845e-003	-4.311267e-002
1.141168217534256e-003	-5.058310e-002
1.151037694226667e-003	-5.775892e-002
1.160907170919078e-003	-6.464012e-002
1.172814938600399e-003	-7.244382e-002
1.184722706281719e-003	-7.965508e-002
1.196630473963040e-003	-8.627391e-002
1.208538241644360e-003	-9.230032e-002
1.220446009325680e-003	-9.773429e-002
1.232353777007001e-003	-1.025758e-001
1.244261544688321e-003	-1.068249e-001
1.260000000000000e-003	-1.114495e-001
1.271801185938722e-003	-1.141599e-001
1.283602371877445e-003	-1.162748e-001
1.295403557816167e-003	-1.177941e-001
1.307204743754889e-003	-1.187179e-001
1.319005929693611e-003	-1.190462e-001
1.330807115632334e-003	-1.187790e-001
1.342608301571056e-003	-1.179162e-001
1.354914545313783e-003	-1.163945e-001
1.367220789056511e-003	-1.143701e-001
1.379527032799238e-003	-1.118432e-001
1.391833276541966e-003	-1.088136e-001
1.404139520284693e-003	-1.052814e-001
1.416445764027420e-003	-1.012466e-001
1.428752007770148e-003	-9.670916e-002
1.442787435231556e-003	-9.100682e-002
1.456822862692963e-003	-8.498633e-002
1.470858290154370e-003	-7.864767e-002
1.484893717615778e-003	-7.199086e-002
1.498929145077185e-003	-6.501590e-002
1.512964572538593e-003	-5.772278e-002
1.527000000000000e-003	-5.011150e-002
1.536800000000010e-003	-4.477468e-002
1.546600000000020e-003	-3.944269e-002
1.556400000000030e-003	-3.411555e-002
1.566200000000040e-003	-2.879326e-002
1.576000000000050e-003	-2.347580e-002
1.585800000000060e-003	-1.816318e-002
1.595600000000070e-003	-1.285541e-002
1.603485714266042e-003	-8.646248e-003
1.611371428532013e-003	-4.507026e-003
1.619257142797985e-003	-4.377405e-004
1.627142857063956e-003	3.561607e-003
1.635028571329928e-003	7.491017e-003
