time	V(dw3)
0.000000000000000e+000	0.000000e+000
9.999999439624929e-011	1.959730e-008
1.999999887924986e-010	4.183474e-008
7.577050326227409e-008	5.818031e-006
1.513410065357557e-007	1.018665e-005
2.269115098092373e-007	1.314769e-005
3.024820130827188e-007	1.470115e-005
3.780525163562004e-007	1.484703e-005
4.536230196296820e-007	1.358533e-005
5.291935229031635e-007	1.091606e-005
9.447275961065102e-006	-7.247152e-005
1.836535839922704e-005	-2.860290e-004
2.728344083738898e-005	-6.297564e-004
3.620152327555092e-005	-1.103654e-003
4.511960571371286e-005	-1.707721e-003
5.403768815187479e-005	-2.441958e-003
6.295577059003672e-005	-3.306365e-003
7.280780336288863e-005	-4.400555e-003
8.265983613574054e-005	-5.610786e-003
9.251186890859247e-005	-6.937059e-003
1.023639016814444e-004	-8.379373e-003
1.122159344542963e-004	-9.937730e-003
1.220679672271482e-004	-1.161213e-002
1.319200000000001e-004	-1.340257e-002
1.446171428349435e-004	-1.586079e-002
1.573142856698870e-004	-1.840437e-002
1.700114285048305e-004	-2.103331e-002
1.827085713397740e-004	-2.374759e-002
1.954057141747174e-004	-2.654723e-002
2.081028570096609e-004	-2.943222e-002
2.207999998446043e-004	-3.240257e-002
2.379161605615721e-004	-3.647309e-002
2.550323212785398e-004	-4.044695e-002
2.721484819955076e-004	-4.432415e-002
2.892646427124753e-004	-4.810467e-002
3.063808034294431e-004	-5.178853e-002
3.234969641464109e-004	-5.537573e-002
3.406131248633786e-004	-5.886625e-002
3.607998213108713e-004	-6.266539e-002
3.809865177583640e-004	-6.605863e-002
4.011732142058567e-004	-6.904596e-002
4.213599106533494e-004	-7.162738e-002
4.415466071008421e-004	-7.380290e-002
4.617333035483348e-004	-7.557252e-002
4.819199999958274e-004	-7.693623e-002
5.002171428535664e-004	-7.770904e-002
5.185142857113054e-004	-7.814283e-002
5.368114285690443e-004	-7.823759e-002
5.551085714267833e-004	-7.799332e-002
5.734057142845222e-004	-7.741003e-002
5.917028571422612e-004	-7.648771e-002
6.100000000000001e-004	-7.522636e-002
6.329714285709669e-004	-7.315709e-002
6.559428571419338e-004	-7.084836e-002
6.789142857129006e-004	-6.830017e-002
7.018857142838674e-004	-6.551253e-002
7.248571428548343e-004	-6.248543e-002
7.478285714258011e-004	-5.921886e-002
7.707999999967679e-004	-5.571284e-002
7.928610582267613e-004	-5.234996e-002
8.149221164567547e-004	-4.911467e-002
8.369831746867479e-004	-4.600695e-002
8.590442329167413e-004	-4.302683e-002
8.811052911467347e-004	-4.017428e-002
9.031663493767281e-004	-3.744932e-002
9.252274076067214e-004	-3.485195e-002
9.451206350914752e-004	-3.278375e-002
9.650138625762290e-004	-3.094544e-002
9.849070900609827e-004	-2.933704e-002
1.004800317545737e-003	-2.795854e-002
1.024693545030490e-003	-2.680994e-002
1.044586772515244e-003	-2.589124e-002
1.064479999999998e-003	-2.520244e-002
1.085592640432565e-003	-2.477125e-002
1.106705280865132e-003	-2.454358e-002
1.127817921297699e-003	-2.451944e-002
1.148930561730266e-003	-2.469882e-002
1.170043202162833e-003	-2.508172e-002
1.191155842595400e-003	-2.566815e-002
1.212268483027967e-003	-2.645810e-002
1.250000000000000e-003	-2.807547e-002
1.260000000000000e-003	-2.855991e-002
1.270000000000000e-003	-2.905236e-002
1.280000000000000e-003	-2.955281e-002
1.290000000000000e-003	-3.006127e-002
1.300000000000000e-003	-3.057773e-002
1.310000000000000e-003	-3.110220e-002
1.320000000000000e-003	-3.163467e-002
1.337565076970429e-003	-3.258267e-002
1.355130153940857e-003	-3.348138e-002
1.372695230911286e-003	-3.433080e-002
1.390260307881714e-003	-3.513093e-002
1.407825384852143e-003	-3.588177e-002
1.425390461822571e-003	-3.658331e-002
1.442955538793000e-003	-3.723557e-002
1.467459035903237e-003	-3.798255e-002
1.491962533013475e-003	-3.852235e-002
1.516466030123713e-003	-3.885497e-002
1.540969527233951e-003	-3.898042e-002
1.565473024344189e-003	-3.889870e-002
1.589976521454426e-003	-3.860980e-002
1.614480018564664e-003	-3.811372e-002
1.642525730198321e-003	-3.721599e-002
1.670571441831977e-003	-3.613561e-002
1.698617153465634e-003	-3.487258e-002
1.726662865099291e-003	-3.342690e-002
1.754708576732947e-003	-3.179857e-002
1.782754288366604e-003	-2.998758e-002
1.810800000000260e-003	-2.799395e-002
1.835528253269032e-003	-2.619625e-002
1.860256506537804e-003	-2.442426e-002
1.884984759806576e-003	-2.267799e-002
1.909713013075348e-003	-2.095744e-002
1.934441266344120e-003	-1.926260e-002
1.959169519612892e-003	-1.759347e-002
1.983897772881664e-003	-1.595007e-002
2.012552376755712e-003	-1.419848e-002
2.041206980629760e-003	-1.259704e-002
2.069861584503807e-003	-1.114574e-002
2.098516188377855e-003	-9.844596e-003
2.127170792251902e-003	-8.693593e-003
2.155825396125950e-003	-7.692737e-003
2.184479999999998e-003	-6.842026e-003
2.194639999861869e-003	-6.576165e-003
2.204799999723740e-003	-6.325534e-003
2.214959999585610e-003	-6.090133e-003
2.225119999447481e-003	-5.869964e-003
2.235279999309352e-003	-5.665025e-003
2.245439999171223e-003	-5.475316e-003
2.255599999033094e-003	-5.300839e-003
2.260000000000000e-003	-5.227930e-003
2.280090377897232e-003	-4.942715e-003
2.300180755794465e-003	-4.680995e-003
2.320271133691697e-003	-4.442771e-003
2.340361511588929e-003	-4.228043e-003
2.360451889486161e-003	-4.036810e-003
2.380542267383393e-003	-3.869073e-003
2.400632645280625e-003	-3.724831e-003
2.414039410240343e-003	-3.620838e-003
2.427446175200062e-003	-3.509826e-003
2.440852940159780e-003	-3.391795e-003
2.454259705119498e-003	-3.266745e-003
2.467666470079216e-003	-3.134675e-003
2.481073235038934e-003	-2.995586e-003
2.494479999998652e-003	-2.849478e-003
2.510000000000000e-003	-2.660096e-003
2.525852161131703e-003	-2.450075e-003
2.541704322263406e-003	-2.215214e-003
2.557556483395109e-003	-1.955513e-003
2.573408644526812e-003	-1.670973e-003
2.589260805658515e-003	-1.361593e-003
2.605112966790218e-003	-1.027373e-003
2.620965127921921e-003	-6.683134e-004
2.645912966652089e-003	-3.498720e-005
2.670860805382256e-003	6.593070e-004
2.695808644112424e-003	1.414569e-003
2.720756482842591e-003	2.230800e-003
2.745704321572759e-003	3.107998e-003
2.770652160302927e-003	4.046165e-003
2.795599999033094e-003	5.045299e-003
2.819885713456938e-003	6.066026e-003
2.844171427880782e-003	7.101723e-003
2.868457142304625e-003	8.152389e-003
2.892742856728469e-003	9.218024e-003
2.917028571152313e-003	1.029863e-002
2.941314285576157e-003	1.139420e-002
2.965600000000001e-003	1.250475e-002
2.983371428571429e-003	1.330294e-002
3.001142857142858e-003	1.408790e-002
3.018914285714286e-003	1.485963e-002
3.036685714285715e-003	1.561812e-002
3.054457142857143e-003	1.636339e-002
3.072228571428572e-003	1.709541e-002
3.090000000000000e-003	1.781421e-002
3.112068571428572e-003	1.867592e-002
3.134137142857143e-003	1.950408e-002
3.156205714285715e-003	2.029870e-002
3.178274285714286e-003	2.105978e-002
3.200342857142858e-003	2.178731e-002
3.222411428571429e-003	2.248130e-002
3.244480000000001e-003	2.314175e-002
3.277487941914212e-003	2.404746e-002
3.310495883828423e-003	2.490666e-002
3.343503825742634e-003	2.571934e-002
3.376511767656846e-003	2.648551e-002
3.409519709571057e-003	2.720517e-002
3.442527651485268e-003	2.787831e-002
3.475535593399479e-003	2.850493e-002
3.502229622073479e-003	2.901136e-002
3.528923650747477e-003	2.952356e-002
3.555617679421477e-003	3.004151e-002
3.582311708095475e-003	3.056522e-002
3.609005736769475e-003	3.109470e-002
3.635699765443474e-003	3.162993e-002
3.662393794117473e-003	3.217092e-002
3.674371314473654e-003	3.242174e-002
3.686348834829835e-003	3.267569e-002
3.698326355186017e-003	3.293276e-002
3.710303875542198e-003	3.319296e-002
3.722281395898380e-003	3.345628e-002
3.734258916254561e-003	3.372272e-002
3.746236436610742e-003	3.399229e-002
3.760000000000000e-003	3.430571e-002
3.775826237299093e-003	3.467203e-002
3.791652474598185e-003	3.504222e-002
3.807478711897277e-003	3.541629e-002
3.823304949196369e-003	3.579424e-002
3.839131186495461e-003	3.617605e-002
3.854957423794553e-003	3.656175e-002
3.870783661093646e-003	3.695132e-002
3.899881355878106e-003	3.768082e-002
3.928979050662566e-003	3.840329e-002
3.958076745447027e-003	3.911870e-002
3.987174440231487e-003	3.982707e-002
4.016272135015948e-003	4.052840e-002
4.045369829800407e-003	4.122268e-002
4.074467524584868e-003	4.190992e-002
4.107486449644172e-003	4.265928e-002
4.140505374703477e-003	4.337071e-002
4.173524299762781e-003	4.404422e-002
4.206543224822086e-003	4.467980e-002
4.239562149881391e-003	4.527745e-002
4.272581074940695e-003	4.583718e-002
4.305600000000000e-003	4.635899e-002
4.343371428571429e-003	4.689167e-002
4.381142857142857e-003	4.738243e-002
4.418914285714286e-003	4.783125e-002
4.456685714285714e-003	4.823816e-002
4.494457142857143e-003	4.860313e-002
4.532228571428572e-003	4.892618e-002
4.570000000000000e-003	4.920730e-002
4.570916402209157e-003	4.921403e-002
4.602305487607082e-003	4.943208e-002
4.633694573005006e-003	4.963861e-002
4.665083658402931e-003	4.983360e-002
4.696472743800854e-003	5.001707e-002
4.727861829198779e-003	5.018901e-002
4.759250914596704e-003	5.034942e-002
4.790639999994628e-003	5.049831e-002
4.812872067464317e-003	5.060132e-002
4.835104134934007e-003	5.069941e-002
4.857336202403697e-003	5.079259e-002
4.879568269873386e-003	5.088086e-002
4.901800337343075e-003	5.096422e-002
4.924032404812765e-003	5.104266e-002
4.946264472282454e-003	5.111618e-002
4.953940976242103e-003	5.113993e-002
4.961617480201753e-003	5.116287e-002
4.969293984161402e-003	5.118498e-002
4.976970488121052e-003	5.120627e-002
4.984646992080701e-003	5.122674e-002
4.992323496040351e-003	5.124639e-002
5.000000000000000e-003	5.126522e-002
5.010000000000001e-003	5.128844e-002
5.020000000000000e-003	5.130996e-002
5.030000000000001e-003	5.132977e-002
5.040000000000000e-003	5.134788e-002
5.050000000000001e-003	5.136429e-002
5.060000000000000e-003	5.137899e-002
5.070000000000001e-003	5.139200e-002
5.094628605526828e-003	5.141705e-002
5.119257211053655e-003	5.142831e-002
5.143885816580482e-003	5.142577e-002
5.168514422107309e-003	5.140944e-002
5.193143027634136e-003	5.137931e-002
5.217771633160963e-003	5.133538e-002
5.242400238687790e-003	5.127766e-002
5.266343061732392e-003	5.120547e-002
5.290285884776994e-003	5.111821e-002
5.314228707821595e-003	5.101589e-002
5.338171530866197e-003	5.089851e-002
5.362114353910798e-003	5.076606e-002
5.386057176955400e-003	5.061855e-002
5.410000000000001e-003	5.045598e-002
5.430396394727200e-003	5.030532e-002
5.450792789454400e-003	5.014467e-002
5.471189184181599e-003	4.997405e-002
5.491585578908798e-003	4.979344e-002
5.511981973635997e-003	4.960285e-002
5.532378368363197e-003	4.940227e-002
5.552774763090396e-003	4.919171e-002
5.576925844640361e-003	4.893023e-002
5.601076926190327e-003	4.865763e-002
5.625228007740291e-003	4.837389e-002
5.649379089290256e-003	4.807902e-002
5.673530170840221e-003	4.777302e-002
5.697681252390187e-003	4.745589e-002
5.721832333940151e-003	4.712763e-002
5.760142000520129e-003	4.658736e-002
5.798451667100108e-003	4.602588e-002
5.836761333680086e-003	4.544317e-002
5.875071000260065e-003	4.483923e-002
5.913380666840044e-003	4.421407e-002
5.951690333420022e-003	4.356768e-002
5.990000000000001e-003	4.290007e-002
6.015828571428572e-003	4.243934e-002
6.041657142857143e-003	4.196880e-002
6.067485714285715e-003	4.148845e-002
6.093314285714285e-003	4.099830e-002
6.119142857142857e-003	4.049834e-002
6.144971428571428e-003	3.998858e-002
6.170800000000000e-003	3.946901e-002
6.182057142857622e-003	3.923920e-002
6.193314285715245e-003	3.900739e-002
6.204571428572867e-003	3.877360e-002
6.215828571430490e-003	3.853782e-002
6.227085714288112e-003	3.830005e-002
6.238342857145736e-003	3.806028e-002
6.249600000003358e-003	3.781853e-002
6.260639999994629e-003	3.757946e-002
6.276496950687734e-003	3.723265e-002
6.292353901380839e-003	3.688183e-002
6.308210852073944e-003	3.652700e-002
6.324067802767049e-003	3.616816e-002
6.339924753460154e-003	3.580530e-002
6.355781704153260e-003	3.543843e-002
6.371638654846364e-003	3.506755e-002
6.401404561296884e-003	3.435983e-002
6.431170467747403e-003	3.363910e-002
6.460936374197923e-003	3.290538e-002
6.490702280648442e-003	3.215865e-002
6.520468187098962e-003	3.139893e-002
6.550234093549481e-003	3.062620e-002
6.580000000000001e-003	2.984048e-002
6.624880689306337e-003	2.863119e-002
6.669761378612671e-003	2.740186e-002
6.714642067919007e-003	2.615249e-002
6.759522757225343e-003	2.488308e-002
6.804403446531679e-003	2.359361e-002
6.849284135838013e-003	2.228411e-002
6.894164825144349e-003	2.095456e-002
6.898924625309320e-003	2.081314e-002
6.943701753975075e-003	1.947287e-002
6.988478882640831e-003	1.812172e-002
7.033256011306587e-003	1.675970e-002
7.078033139972343e-003	1.538680e-002
7.122810268638098e-003	1.400303e-002
7.167587397303854e-003	1.260839e-002
7.212364525969610e-003	1.120286e-002
7.239511638402661e-003	1.034738e-002
7.266658750835712e-003	9.489363e-003
7.293805863268763e-003	8.628808e-003
7.320952975701815e-003	7.765716e-003
7.348100088134866e-003	6.900088e-003
7.375247200567917e-003	6.031922e-003
7.402394313000969e-003	5.161219e-003
7.415618664588146e-003	4.736513e-003
7.428843016175323e-003	4.311445e-003
7.442067367762501e-003	3.886017e-003
7.455291719349679e-003	3.460229e-003
7.468516070936857e-003	3.034080e-003
7.481740422524034e-003	2.607571e-003
7.494964774111212e-003	2.180701e-003
7.510000000000000e-003	1.695144e-003
7.525803409418197e-003	1.184318e-003
7.541606818836394e-003	6.733572e-004
7.557410228254591e-003	1.622609e-004
7.573213637672788e-003	-3.489707e-004
7.589017047090985e-003	-8.603375e-004
7.604820456509181e-003	-1.371840e-003
7.620623865927378e-003	-1.883477e-003
7.649858126656407e-003	-2.830433e-003
7.679092387385436e-003	-3.775816e-003
7.708326648114464e-003	-4.719624e-003
7.737560908843492e-003	-5.661860e-003
7.766795169572521e-003	-6.602521e-003
7.796029430301549e-003	-7.541608e-003
7.825263691030577e-003	-8.479122e-003
7.878008878026213e-003	-1.016594e-002
7.930754065021851e-003	-1.183613e-002
7.983499252017487e-003	-1.348972e-002
8.036244439013124e-003	-1.512669e-002
8.088989626008760e-003	-1.674704e-002
8.141734813004398e-003	-1.835079e-002
8.194480000000034e-003	-1.993791e-002
8.235908571429624e-003	-2.116697e-002
8.277337142859213e-003	-2.237965e-002
8.318765714288804e-003	-2.357593e-002
8.360194285718393e-003	-2.475583e-002
8.401622857147984e-003	-2.591934e-002
8.443051428577573e-003	-2.706647e-002
8.484480000007164e-003	-2.819721e-002
8.510354285721705e-003	-2.889329e-002
8.536228571436247e-003	-2.958141e-002
8.562102857150788e-003	-3.026156e-002
8.587977142865329e-003	-3.093376e-002
8.613851428579870e-003	-3.159799e-002
8.639725714294413e-003	-3.225426e-002
8.665600000008954e-003	-3.290256e-002
8.677028995770098e-003	-3.318608e-002
8.688457991531241e-003	-3.346786e-002
8.699886987292385e-003	-3.374790e-002
8.711315983053530e-003	-3.402621e-002
8.722744978814674e-003	-3.430278e-002
8.734173974575817e-003	-3.457762e-002
8.745602970336962e-003	-3.485072e-002
8.760000000000000e-003	-3.519223e-002
8.775828571424187e-003	-3.556443e-002
8.791657142848373e-003	-3.593304e-002
8.807485714272560e-003	-3.629806e-002
8.823314285696746e-003	-3.665948e-002
8.839142857120933e-003	-3.701731e-002
8.854971428545119e-003	-3.737155e-002
8.870799999969306e-003	-3.772219e-002
8.899897142806278e-003	-3.835735e-002
8.928994285643248e-003	-3.897911e-002
8.958091428480220e-003	-3.958748e-002
8.987188571317192e-003	-4.018245e-002
9.016285714154164e-003	-4.076402e-002
9.045382856991134e-003	-4.133219e-002
9.074479999828106e-003	-4.188697e-002
9.094182856995498e-003	-4.225443e-002
9.113885714162891e-003	-4.261524e-002
9.133588571330283e-003	-4.296938e-002
9.153291428497674e-003	-4.331686e-002
9.172994285665067e-003	-4.365767e-002
9.192697142832459e-003	-4.399182e-002
9.212399999999852e-003	-4.431931e-002
9.215599999999652e-003	-4.437179e-002
9.278000000294835e-003	-4.536254e-002
9.340400000590020e-003	-4.628034e-002
9.402800000885203e-003	-4.712519e-002
9.465200001180387e-003	-4.789709e-002
9.527600001475570e-003	-4.859604e-002
9.590000001770755e-003	-4.922204e-002
9.652400002065938e-003	-4.977509e-002
9.682857099321386e-003	-5.001631e-002
9.713314196576832e-003	-5.023907e-002
9.743771293832280e-003	-5.044336e-002
9.774228391087726e-003	-5.062918e-002
