time	V(dw1)
0.000000000000000e+000	0.000000e+000
9.999999439624929e-011	1.917778e-008
1.999999887924986e-010	4.094713e-008
3.536601736371489e-008	5.052478e-006
7.053203473863727e-008	8.932270e-006
1.056980521135597e-007	1.168032e-005
1.408640694884820e-007	1.329664e-005
1.760300868634044e-007	1.378122e-005
2.111961042383268e-007	1.313405e-005
2.463621216132491e-007	1.135516e-005
3.330288576261055e-007	1.136501e-005
5.063623296518183e-007	1.167082e-005
6.865101152388822e-007	1.178116e-005
8.084585670387079e-007	1.178121e-005
1.000000000000000e-006	1.167462e-005
1.057462429888388e-006	1.152519e-005
1.429979841528504e-006	9.787910e-006
2.934627147618592e-006	-8.264582e-006
4.439274453708681e-006	-4.065972e-005
5.943921759798770e-006	-8.739749e-005
7.448569065888858e-006	-1.484779e-004
8.953216371978945e-006	-2.239010e-004
1.045786367806904e-005	-3.136667e-004
1.196251098415912e-005	-4.177750e-004
1.420538068034097e-005	-6.125773e-004
1.869112007270468e-005	-1.067598e-003
2.137105987403695e-005	-1.398194e-003
2.319913970608622e-005	-1.660199e-003
2.641533769035608e-005	-2.168834e-003
3.064323959685398e-005	-2.907620e-003
3.450267717797782e-005	-3.710174e-003
4.070681606990427e-005	-5.142813e-003
4.494771248932989e-005	-6.285677e-003
5.056545285592342e-005	-7.916442e-003
5.395816999146391e-005	-9.015985e-003
6.090472456947747e-005	-1.143334e-002
7.000000000000001e-005	-1.502151e-002
7.889668770405638e-005	-1.900321e-002
8.779337540811275e-005	-2.338215e-002
9.669006311216913e-005	-2.815831e-002
1.055867508162255e-004	-3.333172e-002
1.144834385202819e-004	-3.890236e-002
1.233801262243383e-004	-4.487023e-002
1.322768139283946e-004	-5.123533e-002
1.442808266900961e-004	-6.041838e-002
1.562848394517977e-004	-7.017762e-002
1.682888522134992e-004	-8.051307e-002
1.802928649752007e-004	-9.142472e-002
1.922968777369023e-004	-1.029126e-001
2.043008904986038e-004	-1.149766e-001
2.163049032603053e-004	-1.276169e-001
2.243803968909399e-004	-1.363717e-001
2.324558905215746e-004	-1.453292e-001
2.405313841522092e-004	-1.544895e-001
2.486068777828438e-004	-1.638526e-001
2.566823714134784e-004	-1.734185e-001
2.647578650441131e-004	-1.831871e-001
2.728333586747477e-004	-1.931585e-001
2.819903523564564e-004	-2.046816e-001
2.911473460381651e-004	-2.164064e-001
3.003043397198738e-004	-2.283330e-001
3.094613334015825e-004	-2.404613e-001
3.186183270832912e-004	-2.527913e-001
3.277753207649999e-004	-2.653231e-001
3.369323144467086e-004	-2.780566e-001
3.508676980971788e-004	-2.977907e-001
3.648030817476490e-004	-3.178313e-001
3.787384653981192e-004	-3.381786e-001
3.926738490485895e-004	-3.588323e-001
4.066092326990597e-004	-3.797926e-001
4.205446163495300e-004	-4.010595e-001
4.344800000000002e-004	-4.226329e-001
4.446400000071917e-004	-4.384739e-001
4.548000000143832e-004	-4.544019e-001
4.649600000215747e-004	-4.704168e-001
4.751200000287662e-004	-4.865186e-001
4.852800000359577e-004	-5.027074e-001
4.954400000431493e-004	-5.189832e-001
5.056000000503407e-004	-5.353459e-001
5.106285720634809e-004	-5.434572e-001
5.156571440766209e-004	-5.515798e-001
5.206857160897610e-004	-5.597134e-001
5.257142881029011e-004	-5.678583e-001
5.307428601160412e-004	-5.760143e-001
5.357714321291812e-004	-5.841815e-001
5.408000041423213e-004	-5.923598e-001
5.500000000000000e-004	-6.073379e-001
5.591656178120548e-004	-6.222934e-001
5.683312356241097e-004	-6.372527e-001
5.774968534361645e-004	-6.522159e-001
5.866624712482193e-004	-6.671831e-001
5.958280890602741e-004	-6.821541e-001
6.049937068723290e-004	-6.971290e-001
6.141593246843837e-004	-7.121077e-001
6.287106745585362e-004	-7.358822e-001
6.432620244326886e-004	-7.595693e-001
6.578133743068411e-004	-7.831692e-001
6.723647241809936e-004	-8.066818e-001
6.869160740551460e-004	-8.301071e-001
7.014674239292985e-004	-8.534451e-001
7.160187738034508e-004	-8.766958e-001
7.271645390781329e-004	-8.943988e-001
7.383103043528150e-004	-9.120017e-001
7.494560696274971e-004	-9.295046e-001
7.606018349021793e-004	-9.469074e-001
7.717476001768613e-004	-9.642101e-001
7.828933654515434e-004	-9.814128e-001
7.940391307262255e-004	-9.985155e-001
8.013612791118330e-004	-1.009684e+000
8.086834274974406e-004	-1.020797e+000
8.160055758830481e-004	-1.031855e+000
8.233277242686557e-004	-1.042857e+000
8.306498726542631e-004	-1.053805e+000
8.379720210398707e-004	-1.064697e+000
8.452941694254782e-004	-1.075534e+000
8.548097618258951e-004	-1.089534e+000
8.643253542263121e-004	-1.103427e+000
8.738409466267290e-004	-1.117214e+000
8.833565390271459e-004	-1.130893e+000
8.928721314275629e-004	-1.144465e+000
9.023877238279798e-004	-1.157931e+000
9.119033162283967e-004	-1.171290e+000
9.226226109426630e-004	-1.186202e+000
9.333419056569293e-004	-1.200963e+000
9.440612003711956e-004	-1.215572e+000
9.547804950854619e-004	-1.230030e+000
9.654997897997281e-004	-1.244335e+000
9.762190845139944e-004	-1.258489e+000
9.869383792282607e-004	-1.272491e+000
9.967410009006823e-004	-1.285157e+000
1.006543622573104e-003	-1.297687e+000
1.016346244245526e-003	-1.310080e+000
1.026148865917948e-003	-1.322337e+000
1.035951487590369e-003	-1.334457e+000
1.045754109262791e-003	-1.346439e+000
1.055556730935213e-003	-1.358285e+000
1.060737317097640e-003	-1.364491e+000
1.065917903260066e-003	-1.370658e+000
1.071098489422493e-003	-1.376785e+000
1.076279075584920e-003	-1.382872e+000
1.081459661747347e-003	-1.388919e+000
1.086640247909774e-003	-1.394928e+000
1.091820834072201e-003	-1.400896e+000
1.101690310764612e-003	-1.412158e+000
1.111559787457023e-003	-1.423275e+000
1.121429264149434e-003	-1.434248e+000
1.131298740841845e-003	-1.445075e+000
1.141168217534256e-003	-1.455759e+000
1.151037694226667e-003	-1.466297e+000
1.160907170919078e-003	-1.476691e+000
1.172814938600399e-003	-1.489035e+000
1.184722706281719e-003	-1.501168e+000
1.196630473963040e-003	-1.513089e+000
1.208538241644360e-003	-1.524798e+000
1.220446009325680e-003	-1.536295e+000
1.232353777007001e-003	-1.547580e+000
1.244261544688321e-003	-1.558654e+000
1.260000000000000e-003	-1.572973e+000
1.271801185938722e-003	-1.583464e+000
1.283602371877445e-003	-1.593751e+000
1.295403557816167e-003	-1.603836e+000
1.307204743754889e-003	-1.613718e+000
1.319005929693611e-003	-1.623397e+000
1.330807115632334e-003	-1.632874e+000
1.342608301571056e-003	-1.642147e+000
1.354914545313783e-003	-1.651605e+000
1.367220789056511e-003	-1.660850e+000
1.379527032799238e-003	-1.669884e+000
1.391833276541966e-003	-1.678707e+000
1.404139520284693e-003	-1.687318e+000
1.416445764027420e-003	-1.695718e+000
1.428752007770148e-003	-1.703907e+000
1.442787435231556e-003	-1.712993e+000
1.456822862692963e-003	-1.721822e+000
1.470858290154370e-003	-1.730393e+000
1.484893717615778e-003	-1.738708e+000
1.498929145077185e-003	-1.746765e+000
1.512964572538593e-003	-1.754566e+000
1.527000000000000e-003	-1.762109e+000
1.536800000000010e-003	-1.767234e+000
1.546600000000020e-003	-1.772243e+000
1.556400000000030e-003	-1.777136e+000
1.566200000000040e-003	-1.781912e+000
1.576000000000050e-003	-1.786572e+000
1.585800000000060e-003	-1.791116e+000
1.595600000000070e-003	-1.795543e+000
1.603485714266042e-003	-1.799028e+000
1.611371428532013e-003	-1.802442e+000
1.619257142797985e-003	-1.805785e+000
1.627142857063956e-003	-1.809059e+000
1.635028571329928e-003	-1.812262e+000
1.642914285595899e-003	-1.815395e+000
1.650799999861871e-003	-1.818457e+000
1.664146194584785e-003	-1.823481e+000
1.677492389307698e-003	-1.828321e+000
1.690838584030612e-003	-1.832979e+000
1.704184778753526e-003	-1.837453e+000
1.717530973476440e-003	-1.841743e+000
1.730877168199353e-003	-1.845851e+000
1.744223362922267e-003	-1.849775e+000
1.752462587627224e-003	-1.852116e+000
1.760701812332180e-003	-1.854394e+000
1.768941037037137e-003	-1.856608e+000
1.777180261742093e-003	-1.858760e+000
1.785419486447050e-003	-1.860849e+000
1.793658711152006e-003	-1.862875e+000
1.801897935856963e-003	-1.864838e+000
1.814575373591655e-003	-1.867738e+000
1.827252811326347e-003	-1.870504e+000
1.839930249061039e-003	-1.873138e+000
1.852607686795732e-003	-1.875640e+000
1.865285124530424e-003	-1.878009e+000
1.877962562265116e-003	-1.880246e+000
1.890639999999808e-003	-1.882350e+000
1.904834285714121e-003	-1.884557e+000
1.919028571428435e-003	-1.886623e+000
1.933222857142748e-003	-1.888549e+000
1.947417142857061e-003	-1.890333e+000
1.961611428571374e-003	-1.891977e+000
1.975805714285687e-003	-1.893479e+000
1.990000000000000e-003	-1.894841e+000
2.003285714285714e-003	-1.896000e+000
